Time,v_vehicle,n_engine
0 sec,0,600
3.1554e-30 sec,3.34842827701586e-29,600
1.7154e-17 sec,1.82026351894034e-16,600
1.7154e-17 sec,1.82026351894083e-16,600
0.0013757 sec,0.0145981669247334,594.166444705594
0.0082541 sec,0.0875890011759236,564.954846230265
0.024434 sec,0.259279118368405,495.952209507527
0.028906 sec,0.306735465013283,476.812547911552
0.033378 sec,0.354191808599073,457.640130594593
0.035158 sec,0.373079299776055,450.000000000002
0.035158 sec,0.37307929977606,450
0.037374 sec,0.39659538470171,450
0.03959 sec,0.420111468656141,450
0.040086 sec,0.425379857928098,450
0.040583 sec,0.43064824714777,450
0.043065 sec,0.456990192444358,450
0.052327 sec,0.555269479188293,450
0.062895 sec,0.667417661390394,450
0.075243 sec,0.798450397395651,450
0.089922 sec,0.954213405789441,450
0.10782 sec,1.14415168120765,450
0.13048 sec,1.38455497983969,450
0.16082 sec,1.70652240620016,450
0.20536 sec,2.17916765425742,450
0.25586 sec,2.71508914253926,450
0.31333 sec,3.32485861422369,450
0.37928 sec,4.02469093716392,450
0.37984 sec,4.03061912604398,450
0.37984 sec,4.03061912604402,450
0.45623 sec,4.22071082230317,471.177823168428
0.53506 sec,4.4177407729965,493.128626582151
0.62333 sec,4.6394681861125,517.830936255619
0.7251 sec,4.89666804018168,546.485175954219
0.84852 sec,5.21122846285467,581.529868263221
0.98618 sec,5.56612723840085,621.06859436023
1 sec,5.6020340284476,625.068914548763
1.0691 sec,5.78235970915661,645.158720967127
1.1495 sec,5.99517252762892,668.867869370481
1.23 sec,6.21370947987097,693.214734709235
1.257 sec,6.28828436377841,701.52300731573
1.257 sec,6.28828436377845,701.523007315735
1.3257 sec,6.48307424712126,723.224248273364
1.4136 sec,6.74340383474785,752.227166754969
1.4567 sec,6.87682813335397,767.091762532893
1.4567 sec,6.87682813335401,767.091762532898
1.5183 sec,7.07030343615483,788.646548098227
1.5798 sec,7.26313434297061,810.129542498201
1.6509 sec,7.48503676973498,834.85135017054
1.7414 sec,7.76607173865303,866.161023309235
1.8647 sec,8.14685034586367,908.582981605773
2 sec,8.56123211455388,954.748616377532
2.1789 sec,9.10364076135821,1015.17752847749
2.2839 sec,9.4133713872447,1049.68414057319
2.3889 sec,9.72079809079109,1083.93407622896
2.5351 sec,10.1449745504896,1131.19092244191
2.7166 sec,10.6645561751191,1189.07671117236
2.904 sec,11.1929008319449,1247.93877581939
3 sec,11.4601752513605,1277.7154073287
3.178 sec,11.9497874265901,1332.26234582708
3.2104 sec,12.0500558509911,1343.43309659286
3.2427 sec,12.1498271490953,1354.54846328297
3.2794 sec,12.2625481346911,1367.10653471635
3.3249 sec,12.4015129624781,1382.58839219699
3.3835 sec,12.5797677244799,1402.44748074958
3.4653 sec,12.8267029292544,1429.9581516757
3.6065 sec,13.2474221141271,1476.82982821699
3.7712 sec,13.7302571934778,1530.62174090058
3.9309 sec,14.1894570894896,1581.78049418751
4 sec,14.3853285654889,1603.60223371888
4.1397 sec,14.7763029722942,1647.16009034346
4.1585 sec,14.8517371165275,1655.56409219619
4.1774 sec,14.9266184684308,1663.90650830672
4.1892 sec,14.9734563033126,1669.12463936494
4.1892 sec,14.9734563033129,1669.12463936496
4.2098 sec,15.0544545684135,1678.14853135579
4.2361 sec,15.1571569060331,1689.59044064481
4.2675 sec,15.2792866341235,1703.19672559217
4.3063 sec,15.4292331971976,1719.90204129249
4.3566 sec,15.6221569976797,1741.39538483517
4.429 sec,15.8970140924058,1772.01679052632
4.5387 sec,16.307522119899,1817.75085775568
4.6484 sec,16.7105370592843,1862.65013156871
4.7552 sec,17.0953229908839,1905.51853970411
4.8682 sec,17.4943836687895,1949.97727535483
4.9269 sec,17.6981024883275,1972.67327604589
4.9269 sec,17.6981024883277,1972.67327604591
4.9842 sec,17.8904126541984,1994.09825549365
5 sec,17.9414310993838,1999.78214191165
5.001 sec,17.940693775242,1998.74506777948
5.001 sec,17.9406937752419,1998.74506777942
5.002 sec,17.9399528273355,1997.7075902556
5.002 sec,17.9399528273354,1997.70759025555
5.0113 sec,17.9331379377899,1988.35398697813
5.0113 sec,17.9331379377898,1988.35398697806
